,Fluid intelligence score,Loneliness,Lack of social support,Age,Sex,Education score,Age completed high school education,Alcohol intake frequency,Alcohol consumption on a typical drinking day,Current tobacco smoking frequency,Past tobacco smoking frequency,Attend sports club or gym,Attend pub or social club,Attend religious group,Attend adult education class,Walking for pleasure,Moderate exercises,Strenuous sports,Sleep duration,Getting up in the morning,Being a morning person,Sleeplessness or insomnia,Heart attack,Angina,Stroke,Hypertension,Diabetes diagnosed by a doctor,Hearing difficulty with background noise,Hearing aid user,Glaucoma,Cataract,Macular degeneration,Miserableness,Fed-up feelings,Mood swings,Worrier_anxious,Nervous feelings,Sensitivity_Hurt feelings,Tense_Highly strung,Suffer from 'nerves',Worry too long after embarrassment,Irritability,Neuroticism score,Happiness,Feelings of nervousness or anxiety,Frequency of friend or family visits,Friendships satisfaction,Family relationship satisfaction,Number of full siblings,Home area population density,Average household income,Paid employment,Retirement,Looking after home or family,Unable to work due to sickness or disability,Unemployment,Doing unpaid or voluntary work,Full or part-time student,Number of vehicles in household,Time spent watching TV,Time spent using computer,Number in household,Physical environment score
Fluid intelligence score,0.016727766275765648,0.036134794803034116,0.21081732693081637,0.08369360916202614,0.04593185133213108,-0.018442106973074215,-0.041740026855114055,0.03721106391511689,0.07046345876890793,0.10534022442819453,0.046462187869434374,0.11463548118771832,-0.04769081629644766,-0.12508071531605644,-0.14965644397482197,-0.1085607183746334,0.034106869510957566,0.09551594248678814,0.13543202794727097,0.19746365484104497,0.11183590533210713,0.029343345449857044,0.16446441142382692,-0.12239121758114342,-0.035582625625712835,0.03204956884568065,0.019919703452775158,0.18050019207528398,0.011190687855922277,0.018893077218120655,0.037935634078299196,0.2810648902363697,0.01835888168358529,0.010512062135175543,0.018461119496566664,-0.098609684548157,-0.24823804353613085,-0.09504554589500681,0.035037369887348735,-0.03511612385341904,0.01964977421703469,-0.006100550930160348,0.002925636070147132,-0.05548921462471545,-0.002566371301796392,-0.17128063545068584,0.006486616992493287,-0.004041227590619363,-0.03788255159046401,-0.14119824411892842,-0.09549055878243494,-0.13378656422148422,0.16838491490846114,-0.014925090726632242,0.06492031775609121,-0.09894546862263699,0.16313440866870874,-0.21217559930852672,-0.06910717457478537,-0.08109959983803536,0.06760953950134539,-0.05746264531338293,-0.2998151401619632
Loneliness,-0.10671679614969158,0.03498804450546604,0.03726039620616375,0.13008995712558774,-0.12367353066217647,0.13994771175762863,0.14458030920526782,-0.2280652647849004,-0.13851158455383197,-0.1344335457775964,-0.020787453891711254,0.15715547697208201,-0.07890885174669633,-0.18194747222802832,0.19611752074768204,-0.0641173598776373,0.3611638741387486,-0.11827764273624235,-0.2633046176899816,-0.09391731704267453,-0.13421737267411862,0.19646265774976748,-0.09149335307851705,0.03340101655755483,-0.17450658991340287,-0.13666656433022334,-0.1848312170471021,-0.0012314449058490162,-0.03929006289385961,-0.04624111004474249,0.21014159418286107,-0.11744123595175195,0.06021403150951831,0.2180656921385894,-0.02103566317196941,0.31284307779935966,-0.003017018355465529,0.001105566207829615,-0.17696626874992816,0.029760501039683928,-0.03435916986875363,-0.12114196813382941,0.09423413997519069,0.09815465667646635,-0.24387939194421085,0.3101799394533368,0.060584787036120955,0.12329261762667906,-0.011746384437676314,0.0020004888894721478,-0.031561594331733,-0.09597168129087126,0.028323138713732588,0.016337544736947606,0.06878327754984973,0.10446025267212858,0.022269936708535148,0.03864088062565926,0.13865741103041845,0.2456222271980214,-0.1454365088530008,0.12781212204690814,0.37550994657828796
Lack of social support,0.09082575525484891,-0.13780054484868,-0.19042056098972193,0.07962833176941975,-0.022657060430002224,-0.029298089062732402,-0.14845594551348193,-0.2511146954534106,0.007495475075212633,-0.2084251185159603,-0.09939088903617654,0.2516181285399015,-0.3547739146945824,-0.15654938344012995,0.30397428378615426,0.244512585251078,0.030562774625004546,-0.048682672871313705,-0.022544461926119214,0.13658581229196426,0.2342377107839546,0.0588545051165244,-0.19604569155321505,-0.2785220130293904,-0.12328304607560021,-0.34452844534932625,-0.5313525144043965,-0.2792348237986303,-0.3349004889723248,-0.08103432295105001,-0.017741507624442276,0.02028256282428012,0.08043693829386846,0.07563521464098599,-0.17210278596796483,0.12351785378268233,-0.22030104963800698,0.01836051055473126,-0.2217380523994284,-0.2051928594974829,0.10559685066003954,-0.0877265000655767,-0.04288488155716182,0.22483824331278407,0.1533105967974822,0.15229593578061645,0.15591546248689866,0.25016007969455684,-0.06170260128761294,-0.12816758633781583,0.21072341714602685,-0.09259742863561936,0.015875561646779477,0.1348777171910463,-0.008086596467055243,0.13670516663563564,0.0053306807407370255,-0.05577261534706588,0.283848167803025,0.021688051771915854,-0.14373760706582628,0.37239719958900536,0.21280139376556095
Age,0.12711257188565267,-0.04055916354360069,0.09656998474141722,-0.09733355098079932,0.2377070720428151,-0.04131670224006992,-0.05801726217139613,0.13123430863233498,0.1993798662382449,0.15023769227867537,0.20045079501145668,0.2198778021737316,0.12361012404681625,-0.19257843593184334,-0.05288607378239803,-0.005975341416397264,0.038931208469412004,0.01154750854898224,-0.050816330058218756,0.12219711625376418,0.07990582810313814,0.055201779546626514,0.01596531932015316,-0.1359350650568789,0.13817057204657962,0.2771310721182934,0.12042831480392882,-0.12124914393425737,0.2509938521702575,-0.08509279906906851,0.11625352075949158,0.3446251302012872,-0.024870735977664156,-0.1335220835301326,0.015185334292522421,0.08409299335193385,-0.17331949335617955,0.06561950116059315,-0.2401752264393259,-0.12268511616707771,0.06363713193723708,-0.0616503336023761,0.07680205808097706,-0.27098918658038196,0.06412853985499217,0.03486175010775567,-0.2722827933051583,-0.23626333597664992,-0.0887210644707152,0.09130613333830342,0.03853852338825793,-0.14865151947965213,0.13470865088443562,-0.23635985496735112,0.04730350362871769,0.05026234321692407,0.05411109908071261,0.19876681786563832,-0.34027018297462736,-0.05901911425262197,0.19553425504102953,-0.22030737989502414,0.12983145164940205
Sex,0.0784204360117337,0.13932389860637223,0.3655285293584838,-0.03827770408465527,-0.025643344900484515,-0.19941694306634924,-0.05884150159942604,0.12915778428630428,0.10982565569485281,0.20795269257616691,-0.08186542497818142,0.15130444895210596,0.028109791498915813,0.047329896609929034,-0.2538615470376075,-0.12336753434777036,-0.025716925072226136,0.1772189279584131,-0.1172584973281921,-0.04033990110834214,-0.0494263036602079,-0.0871504463806215,0.1555212727536802,-0.06857409272917665,0.18602328086990993,0.003725481970987354,0.0561661255598013,0.08638197232989221,0.17917417020157725,0.17706393478707574,0.06616668186744488,0.16201291566893117,0.19264189385589173,0.05817737192271863,0.16814496289709288,0.07122240398985098,0.13322061672420887,0.27333397576090146,0.22736075321595053,0.02408384464845263,0.07321121933837886,0.20874205521380265,0.14332712649667495,-0.36008917673417223,0.19607506825719823,-0.29922648460145995,-0.25438101872710533,-0.3195003725028969,-0.09199449104096653,0.11850747128964402,0.08795949057809573,0.19382106916152606,-0.18414383918467458,-0.19160402644631924,0.18172746920860508,0.03248499054678887,-0.06884329403321,-0.19604579115774684,-0.1482952459238413,-0.20307176785959827,-0.0910009204912934,-0.25883456233717556,-0.13428082118122647
Education score,-0.27543633553611224,0.11441200719199388,0.13403364228240897,0.04442095996887574,0.04092064044517934,0.09968521296052196,-0.021524812009979015,-0.010825688948737422,-0.015760154688132792,0.18433409322479516,0.00795867630144923,0.09754467622003063,-0.023684010376400683,0.06003059224812994,0.015184352987616369,-0.12082972073806753,0.05233153698277358,0.0190235801671114,-0.09790123794543855,-0.22373417799174952,-0.14946406089570294,-0.06342169056939209,-0.17203313150690705,0.13547145557797716,-0.23415103646841762,-0.06951679805269742,0.09076154069013245,-0.021511411746810132,-0.0035997137288127667,0.136932576203424,-0.03735494872652086,-0.17838860797597794,-0.0022399169796867777,-0.023908155827443375,0.0657319669032117,0.10174405177030382,0.26499290674159953,-0.17357133625684149,0.06304936374028644,0.13425426560016707,-0.039105538350422915,0.15892603617279205,0.01619754569727579,-0.06412034688501815,-0.1870036682463929,-0.03127053977587657,-0.08766703212824914,-0.043487776711351366,0.2523546260316906,0.12309556561661704,-0.159979415999764,0.04641662824017798,-0.11770660976415868,0.17289005484217204,0.04563215216337862,-0.02385319108849976,-0.08849768347144343,0.17394876217691405,0.00793082528981194,0.024312590775657252,-0.054460790901867444,0.10777730525242986,0.015619623051716049
Age completed high school education,0.08030659935025238,0.15255035649759124,-0.18574084126488155,-0.061850492672540114,-0.0910194465986563,0.0018036788286046087,-0.09646817416016355,-0.04309626180344034,-0.03586906328155581,-0.038843555801149364,0.2835801458469213,-0.01655376622482389,0.05149776321736293,-0.17156127422953057,0.016526677834396666,0.07215118045337914,0.01508249870814516,-0.03221795271878503,-0.01928295968636718,-0.28992292526904645,-0.2958224621134362,0.3923981508407555,0.18379701214130795,0.07950720356046752,-0.06316783332740941,0.161288391528582,-0.03448888223003403,0.1144438123589035,-0.03764994961541802,-0.1276966540487933,-0.15122313119996436,-0.0013120678441522577,0.19219767566879975,0.2442447529885191,0.2603528058339695,0.20340300578267909,0.048783092007580554,0.270201251887746,-0.143721083245309,0.06705226500908344,-0.07749334947153753,-0.008882180529303143,0.14832753540960336,-0.067275884289109,-0.0008694996308198531,-0.05303303893835465,-0.03212201506651816,0.034047541123145106,0.1423876216092427,0.06563138098167486,0.036279918353170994,-0.19241473928131916,0.21788641552039825,0.05626641147617315,0.09063959332185233,-0.2112383842968332,-0.10035246023752276,0.019831929456593435,-0.11784202038129957,0.05724121842603701,-0.05272809191985052,-0.07050127575429425,-0.01590884106708243
Alcohol intake frequency,0.08718416704084195,-0.0010902168754306331,0.10499234654669938,0.22505429488612283,0.09212047000855256,-0.12992122800139447,-0.021186832061228764,0.21375828774068797,0.16503253986287472,0.11040734598838561,0.010278736648778873,0.0582232892488085,0.05613287080093032,-0.2638586717500548,0.07132202249305314,0.10152484124319824,-0.0795203973986155,-0.12373353416695637,0.14956345809116614,0.18650376925273246,0.1787505615992106,-0.02932997095758631,-0.04429170139217828,-0.1970601340746995,-0.047827942840313935,-0.013694452820017158,-0.06080463841885816,-0.107808107728347,-0.020264544658929424,0.2215753446188403,0.05667993038865208,0.1682351264201223,0.015567273774617486,0.016455207099866174,-0.061097964852526665,-0.2563034841028076,-0.2813337846113804,-0.1009154983404105,-0.14598568538149193,-0.08099461113138445,0.02640663938582144,0.004341455782138979,-0.09535820931799721,0.09186463923866499,0.10918989070099244,-0.1424646618327412,0.13226370148328945,0.0710101583692058,-0.06674232936302728,-0.06398757160390242,-0.02463309211314859,-0.0944122739711261,0.08931166826771111,-0.128125831208898,-0.046546517213378394,0.029962789469960435,0.2362976482640779,-0.03914458522755929,-0.0650738787874016,0.056192637897970875,-0.036571202859386885,-0.11173173567962855,-0.011743799133353336
Alcohol consumption on a typical drinking day,-0.001181782753771541,0.15001383259131043,0.18648965655285124,0.15378856066345561,-0.08627675043623868,0.028975449689184835,0.06980265986556054,-0.071302031729598,-0.2732045777957978,-0.015186631154208671,-0.1972789080284808,-0.2334820444751198,-0.12261697846983169,0.06867299080294449,-0.03692227418766405,-0.10093158505376622,0.031583803816963095,-0.1507302696913944,0.17560487835067953,-0.27267556062289316,-0.07846141337561789,-0.21107535734220326,0.22776160418145186,-0.1086377063563907,0.07947410300060351,0.00017584490702282518,0.10001102335132893,0.035920250584770906,-0.1505290421686372,0.2247384992129404,0.08713284751202881,-0.09855962182151747,0.16998760447318464,0.04875272477175654,0.2203576165939926,0.0837380132805757,0.2838043804088116,0.19712478622288024,0.3499673164915679,0.3405217887117306,0.12271994710147797,0.4613716191843802,0.2871243298179146,0.11201368011952606,-0.05520002643486092,-0.14099455930762997,0.11801418729512538,0.06899627272060795,-0.17917859061167626,-0.012499100673806787,-0.09252905723545203,-0.12785270619294659,0.13044676276573403,0.07229303378402652,0.15787149222954242,-0.057811148047649384,0.01611230893750357,-0.25268145553610116,0.11880632617039352,0.08275302635794217,0.03109720434245517,0.07718062789167432,-0.0738247062986523
Current tobacco smoking frequency,-0.25732397225012804,0.08336218246233425,0.08733855543743063,-0.015382915246208856,-0.08949680018490326,0.2474574745391763,0.35177098544768964,-0.234477890670356,-0.10926494030555604,-0.03187205578297927,0.00616422529907569,0.044155162059511116,-0.21225619676600901,-0.0848688464613159,0.15510521562747967,-0.2143127646004359,0.18975280376237683,0.17045717041068553,-0.07424718244342739,0.10602762607512901,-0.01363190129041827,0.032022407014323434,0.13942343142980929,0.008269411074359608,-0.11465993951214264,-0.3044838876776275,0.047452545286316615,0.08265767554028976,-0.10379369706811437,0.11951474191335026,-0.16053944889156258,-0.018972525389387512,-0.05032069522109127,0.179603690553162,0.08887979869906842,0.03356934162537629,0.07402026406228741,-0.1430238095840059,-0.07919519508354764,0.1706454170264521,-0.2248693770219442,0.031071265910572354,-0.0015892271945573998,0.11085908602808191,-0.0010578845104279538,-0.11541659572728437,0.05421224559733102,0.05126104148259459,0.12273360321667494,0.053071231198629734,-0.16202875286009985,0.12325340591151406,-0.1970650115714622,0.17026295240419548,0.019045084089767485,0.0092156132559798,0.10591444323814075,0.029272126186183665,0.045392180278863,0.14824192532178634,-0.14590885997775355,0.2244469975190483,0.027328283886605135
