,coefs,pval
0,Mode1_Main effect e2/2,0.236
1,Mode2_Main effect e2/2,0.216
2,Mode3_Main effect e2/2,0.244
3,Mode4_Main effect e2/2,0.184
4,Mode5_Main effect e2/2,0.178
5,Mode6_Main effect e2/2,0.195
6,Mode7_Main effect e2/2,0.235
7,Mode8_Main effect e2/2,0.178
8,Mode9_Main effect e2/2,0.198
9,Mode10_Main effect e2/2,0.192
10,Mode11_Main effect e2/2,0.18
11,Mode12_Main effect e2/2,0.192
12,Mode13_Main effect e2/2,0.156
13,Mode14_Main effect e2/2,0.186
14,Mode15_Main effect e2/2,0.152
15,Mode16_Main effect e2/2,0.157
16,Mode17_Main effect e2/2,0.158
17,Mode18_Main effect e2/2,0.171
18,Mode19_Main effect e2/2,0.16
19,Mode20_Main effect e2/2,0.171
20,Mode21_Main effect e2/2,0.167
21,Mode22_Main effect e2/2,0.163
22,Mode23_Main effect e2/2,0.158
23,Mode24_Main effect e2/2,0.125
24,Mode25_Main effect e2/2,0.16
25,Mode26_Main effect e2/2,0.155
26,Mode27_Main effect e2/2,0.14
27,Mode28_Main effect e2/2,0.137
28,Mode29_Main effect e2/2,0.168
29,Mode30_Main effect e2/2,0.146
30,Mode31_Main effect e2/2,0.145
31,Mode32_Main effect e2/2,0.135
32,Mode33_Main effect e2/2,0.112
33,Mode34_Main effect e2/2,0.119
34,Mode35_Main effect e2/2,0.097
35,Mode36_Main effect e2/2,0.099
36,Mode37_Main effect e2/2,0.106
37,Mode38_Main effect e2/2,0.138
38,Mode39_Main effect e2/2,0.123
39,Mode40_Main effect e2/2,0.117
40,Mode41_Main effect e2/2,0.128
41,Mode42_Main effect e2/2,0.12
42,Mode43_Main effect e2/2,0.128
43,Mode44_Main effect e2/2,0.103
44,Mode45_Main effect e2/2,0.109
45,Mode46_Main effect e2/2,0.09
46,Mode47_Main effect e2/2,0.117
47,Mode48_Main effect e2/2,0.122
48,Mode49_Main effect e2/2,0.102
49,Mode50_Main effect e2/2,0.12
50,Mode1_Main effect e2/3,0.0
51,Mode2_Main effect e2/3,0.0
52,Mode3_Main effect e2/3,0.0
53,Mode4_Main effect e2/3,0.0
54,Mode5_Main effect e2/3,0.0
55,Mode6_Main effect e2/3,0.0
56,Mode7_Main effect e2/3,0.0
57,Mode8_Main effect e2/3,0.0
58,Mode9_Main effect e2/3,0.0
59,Mode10_Main effect e2/3,0.0
60,Mode11_Main effect e2/3,0.0
61,Mode12_Main effect e2/3,0.0
62,Mode13_Main effect e2/3,0.0
63,Mode14_Main effect e2/3,0.0
64,Mode15_Main effect e2/3,0.0
65,Mode16_Main effect e2/3,0.0
66,Mode17_Main effect e2/3,0.0
67,Mode18_Main effect e2/3,0.0
68,Mode19_Main effect e2/3,0.0
69,Mode20_Main effect e2/3,0.0
70,Mode21_Main effect e2/3,0.0
71,Mode22_Main effect e2/3,0.0
72,Mode23_Main effect e2/3,0.0
73,Mode24_Main effect e2/3,0.0
74,Mode25_Main effect e2/3,0.0
75,Mode26_Main effect e2/3,0.0
76,Mode27_Main effect e2/3,0.0
77,Mode28_Main effect e2/3,0.0
78,Mode29_Main effect e2/3,0.0
79,Mode30_Main effect e2/3,0.0
80,Mode31_Main effect e2/3,0.0
81,Mode32_Main effect e2/3,0.0
82,Mode33_Main effect e2/3,0.0
83,Mode34_Main effect e2/3,0.0
84,Mode35_Main effect e2/3,0.0
85,Mode36_Main effect e2/3,0.0
86,Mode37_Main effect e2/3,0.0
87,Mode38_Main effect e2/3,0.0
88,Mode39_Main effect e2/3,0.0
89,Mode40_Main effect e2/3,0.0
90,Mode41_Main effect e2/3,0.0
91,Mode42_Main effect e2/3,0.0
92,Mode43_Main effect e2/3,0.0
93,Mode44_Main effect e2/3,0.0
94,Mode45_Main effect e2/3,0.0
95,Mode46_Main effect e2/3,0.0
96,Mode47_Main effect e2/3,0.0
