,coefs,pval
0,Canonical_variate_1_Main effect e2/2,0.236
1,Canonical_variate_2_Main effect e2/2,0.216
2,Canonical_variate_3_Main effect e2/2,0.244
3,Canonical_variate_4_Main effect e2/2,0.184
4,Canonical_variate_5_Main effect e2/2,0.178
5,Canonical_variate_6_Main effect e2/2,0.195
6,Canonical_variate_7_Main effect e2/2,0.235
7,Canonical_variate_8_Main effect e2/2,0.178
8,Canonical_variate_9_Main effect e2/2,0.198
9,Canonical_variate_10_Main effect e2/2,0.192
10,Canonical_variate_11_Main effect e2/2,0.18
11,Canonical_variate_12_Main effect e2/2,0.192
12,Canonical_variate_13_Main effect e2/2,0.156
13,Canonical_variate_14_Main effect e2/2,0.186
14,Canonical_variate_15_Main effect e2/2,0.152
15,Canonical_variate_16_Main effect e2/2,0.157
16,Canonical_variate_17_Main effect e2/2,0.158
17,Canonical_variate_18_Main effect e2/2,0.171
18,Canonical_variate_19_Main effect e2/2,0.16
19,Canonical_variate_20_Main effect e2/2,0.171
20,Canonical_variate_21_Main effect e2/2,0.167
21,Canonical_variate_22_Main effect e2/2,0.163
22,Canonical_variate_23_Main effect e2/2,0.158
23,Canonical_variate_24_Main effect e2/2,0.125
24,Canonical_variate_25_Main effect e2/2,0.16
25,Canonical_variate_26_Main effect e2/2,0.155
26,Canonical_variate_27_Main effect e2/2,0.14
27,Canonical_variate_28_Main effect e2/2,0.137
28,Canonical_variate_29_Main effect e2/2,0.168
29,Canonical_variate_30_Main effect e2/2,0.146
30,Canonical_variate_31_Main effect e2/2,0.145
31,Canonical_variate_32_Main effect e2/2,0.135
32,Canonical_variate_33_Main effect e2/2,0.112
33,Canonical_variate_34_Main effect e2/2,0.119
34,Canonical_variate_35_Main effect e2/2,0.097
35,Canonical_variate_36_Main effect e2/2,0.099
36,Canonical_variate_37_Main effect e2/2,0.106
37,Canonical_variate_38_Main effect e2/2,0.138
38,Canonical_variate_39_Main effect e2/2,0.123
39,Canonical_variate_40_Main effect e2/2,0.117
40,Canonical_variate_41_Main effect e2/2,0.128
41,Canonical_variate_42_Main effect e2/2,0.12
42,Canonical_variate_43_Main effect e2/2,0.128
43,Canonical_variate_44_Main effect e2/2,0.103
44,Canonical_variate_45_Main effect e2/2,0.109
45,Canonical_variate_46_Main effect e2/2,0.09
46,Canonical_variate_47_Main effect e2/2,0.117
47,Canonical_variate_48_Main effect e2/2,0.122
48,Canonical_variate_49_Main effect e2/2,0.102
49,Canonical_variate_50_Main effect e2/2,0.12
50,Canonical_variate_1_Main effect e2/3,0.0
51,Canonical_variate_2_Main effect e2/3,0.0
52,Canonical_variate_3_Main effect e2/3,0.0
53,Canonical_variate_4_Main effect e2/3,0.0
54,Canonical_variate_5_Main effect e2/3,0.0
55,Canonical_variate_6_Main effect e2/3,0.0
56,Canonical_variate_7_Main effect e2/3,0.0
57,Canonical_variate_8_Main effect e2/3,0.0
58,Canonical_variate_9_Main effect e2/3,0.0
59,Canonical_variate_10_Main effect e2/3,0.0
60,Canonical_variate_11_Main effect e2/3,0.0
61,Canonical_variate_12_Main effect e2/3,0.0
62,Canonical_variate_13_Main effect e2/3,0.0
63,Canonical_variate_14_Main effect e2/3,0.0
64,Canonical_variate_15_Main effect e2/3,0.0
65,Canonical_variate_16_Main effect e2/3,0.0
66,Canonical_variate_17_Main effect e2/3,0.0
67,Canonical_variate_18_Main effect e2/3,0.0
68,Canonical_variate_19_Main effect e2/3,0.0
69,Canonical_variate_20_Main effect e2/3,0.0
70,Canonical_variate_21_Main effect e2/3,0.0
71,Canonical_variate_22_Main effect e2/3,0.0
72,Canonical_variate_23_Main effect e2/3,0.0
73,Canonical_variate_24_Main effect e2/3,0.0
74,Canonical_variate_25_Main effect e2/3,0.0
75,Canonical_variate_26_Main effect e2/3,0.0
76,Canonical_variate_27_Main effect e2/3,0.0
77,Canonical_variate_28_Main effect e2/3,0.0
78,Canonical_variate_29_Main effect e2/3,0.0
79,Canonical_variate_30_Main effect e2/3,0.0
80,Canonical_variate_31_Main effect e2/3,0.0
81,Canonical_variate_32_Main effect e2/3,0.0
82,Canonical_variate_33_Main effect e2/3,0.0
83,Canonical_variate_34_Main effect e2/3,0.0
84,Canonical_variate_35_Main effect e2/3,0.0
85,Canonical_variate_36_Main effect e2/3,0.0
86,Canonical_variate_37_Main effect e2/3,0.0
87,Canonical_variate_38_Main effect e2/3,0.0
88,Canonical_variate_39_Main effect e2/3,0.0
89,Canonical_variate_40_Main effect e2/3,0.0
90,Canonical_variate_41_Main effect e2/3,0.0
91,Canonical_variate_42_Main effect e2/3,0.0
92,Canonical_variate_43_Main effect e2/3,0.0
93,Canonical_variate_44_Main effect e2/3,0.0
94,Canonical_variate_45_Main effect e2/3,0.0
95,Canonical_variate_46_Main effect e2/3,0.0
96,Canonical_variate_47_Main effect e2/3,0.0
97,Canonical_variate_48_Main effect e2/3,0.0
98,Canonical_variate_49_Main effect e2/3,0.0
99,Canonical_variate_50_Main effect e2/3,0.0
100,Canonical_variate_1_Main effect e3/3,0.0
101,Canonical_variate_2_Main effect e3/3,0.0
102,Canonical_variate_3_Main effect e3/3,0.0
103,Canonical_variate_4_Main effect e3/3,0.0
104,Canonical_variate_5_Main effect e3/3,0.0
105,Canonical_variate_6_Main effect e3/3,0.0
106,Canonical_variate_7_Main effect e3/3,0.0
107,Canonical_variate_8_Main effect e3/3,0.0
108,Canonical_variate_9_Main effect e3/3,0.0
109,Canonical_variate_10_Main effect e3/3,0.0
110,Canonical_variate_11_Main effect e3/3,0.0
111,Canonical_variate_12_Main effect e3/3,0.0
112,Canonical_variate_13_Main effect e3/3,0.0
113,Canonical_variate_14_Main effect e3/3,0.0
114,Canonical_variate_15_Main effect e3/3,0.0
115,Canonical_variate_16_Main effect e3/3,0.0
116,Canonical_variate_17_Main effect e3/3,0.0
117,Canonical_variate_18_Main effect e3/3,0.0
118,Canonical_variate_19_Main effect e3/3,0.0
119,Canonical_variate_20_Main effect e3/3,0.0
120,Canonical_variate_21_Main effect e3/3,0.0
121,Canonical_variate_22_Main effect e3/3,0.0
122,Canonical_variate_23_Main effect e3/3,0.0
123,Canonical_variate_24_Main effect e3/3,0.0
124,Canonical_variate_25_Main effect e3/3,0.0
125,Canonical_variate_26_Main effect e3/3,0.0
126,Canonical_variate_27_Main effect e3/3,0.0
127,Canonical_variate_28_Main effect e3/3,0.0
128,Canonical_variate_29_Main effect e3/3,0.0
129,Canonical_variate_30_Main effect e3/3,0.0
130,Canonical_variate_31_Main effect e3/3,0.0
131,Canonical_variate_32_Main effect e3/3,0.0
132,Canonical_variate_33_Main effect e3/3,0.0
133,Canonical_variate_34_Main effect e3/3,0.0
134,Canonical_variate_35_Main effect e3/3,0.0
135,Canonical_variate_36_Main effect e3/3,0.0
136,Canonical_variate_37_Main effect e3/3,0.0
137,Canonical_variate_38_Main effect e3/3,0.0
138,Canonical_variate_39_Main effect e3/3,0.0
139,Canonical_variate_40_Main effect e3/3,0.0
140,Canonical_variate_41_Main effect e3/3,0.0
141,Canonical_variate_42_Main effect e3/3,0.0
142,Canonical_variate_43_Main effect e3/3,0.0
143,Canonical_variate_44_Main effect e3/3,0.0
144,Canonical_variate_45_Main effect e3/3,0.0
145,Canonical_variate_46_Main effect e3/3,0.0
146,Canonical_variate_47_Main effect e3/3,0.0
147,Canonical_variate_48_Main effect e3/3,0.0
148,Canonical_variate_49_Main effect e3/3,0.0
149,Canonical_variate_50_Main effect e3/3,0.0
150,Canonical_variate_1_Main effect e2/4,0.019
151,Canonical_variate_2_Main effect e2/4,0.013
152,Canonical_variate_3_Main effect e2/4,0.025
153,Canonical_variate_4_Main effect e2/4,0.012
154,Canonical_variate_5_Main effect e2/4,0.017
155,Canonical_variate_6_Main effect e2/4,0.014
156,Canonical_variate_7_Main effect e2/4,0.021
157,Canonical_variate_8_Main effect e2/4,0.016
158,Canonical_variate_9_Main effect e2/4,0.02
159,Canonical_variate_10_Main effect e2/4,0.008
160,Canonical_variate_11_Main effect e2/4,0.016
161,Canonical_variate_12_Main effect e2/4,0.02
162,Canonical_variate_13_Main effect e2/4,0.014
163,Canonical_variate_14_Main effect e2/4,0.016
164,Canonical_variate_15_Main effect e2/4,0.011
165,Canonical_variate_16_Main effect e2/4,0.013
166,Canonical_variate_17_Main effect e2/4,0.015
167,Canonical_variate_18_Main effect e2/4,0.014
168,Canonical_variate_19_Main effect e2/4,0.014
169,Canonical_variate_20_Main effect e2/4,0.016
170,Canonical_variate_21_Main effect e2/4,0.019
171,Canonical_variate_22_Main effect e2/4,0.011
172,Canonical_variate_23_Main effect e2/4,0.019
173,Canonical_variate_24_Main effect e2/4,0.009
174,Canonical_variate_25_Main effect e2/4,0.015
175,Canonical_variate_26_Main effect e2/4,0.008
176,Canonical_variate_27_Main effect e2/4,0.016
177,Canonical_variate_28_Main effect e2/4,0.019
178,Canonical_variate_29_Main effect e2/4,0.013
179,Canonical_variate_30_Main effect e2/4,0.01
180,Canonical_variate_31_Main effect e2/4,0.008
181,Canonical_variate_32_Main effect e2/4,0.02
182,Canonical_variate_33_Main effect e2/4,0.002
183,Canonical_variate_34_Main effect e2/4,0.009
184,Canonical_variate_35_Main effect e2/4,0.005
185,Canonical_variate_36_Main effect e2/4,0.008
186,Canonical_variate_37_Main effect e2/4,0.01
187,Canonical_variate_38_Main effect e2/4,0.007
188,Canonical_variate_39_Main effect e2/4,0.011
189,Canonical_variate_40_Main effect e2/4,0.013
190,Canonical_variate_41_Main effect e2/4,0.011
191,Canonical_variate_42_Main effect e2/4,0.004
192,Canonical_variate_43_Main effect e2/4,0.011
193,Canonical_variate_44_Main effect e2/4,0.01
194,Canonical_variate_45_Main effect e2/4,0.008
195,Canonical_variate_46_Main effect e2/4,0.006
196,Canonical_variate_47_Main effect e2/4,0.009
197,Canonical_variate_48_Main effect e2/4,0.008
198,Canonical_variate_49_Main effect e2/4,0.007
199,Canonical_variate_50_Main effect e2/4,0.009
200,Canonical_variate_1_Main effect e3/4,0.002
201,Canonical_variate_2_Main effect e3/4,0.002
202,Canonical_variate_3_Main effect e3/4,0.002
203,Canonical_variate_4_Main effect e3/4,0.001
204,Canonical_variate_5_Main effect e3/4,0.001
205,Canonical_variate_6_Main effect e3/4,0.001
206,Canonical_variate_7_Main effect e3/4,0.002
207,Canonical_variate_8_Main effect e3/4,0.003
208,Canonical_variate_9_Main effect e3/4,0.002
209,Canonical_variate_10_Main effect e3/4,0.001
210,Canonical_variate_11_Main effect e3/4,0.001
211,Canonical_variate_12_Main effect e3/4,0.002
212,Canonical_variate_13_Main effect e3/4,0.001
213,Canonical_variate_14_Main effect e3/4,0.001
214,Canonical_variate_15_Main effect e3/4,0.002
215,Canonical_variate_16_Main effect e3/4,0.002
